Title,Brand,Price,Prime,URL
"Wet n Wild Ultimate Brow Micro Eyebrow Retractable Pencil, Dark Brown, Ultra Fine 1.5mm Tip, Draws Tiny Brow Hairs",wet n wild,$3.28,yes,https://www.amazon.com/Wet-Wild-Ultimate-Eyebrow-Pencil/dp/B07QHG4452/ref=sr_1_193?qid=1689463122&s=beauty&sr=1-193
"essence | Glimmer GLOW Lipstick | pH Color Changing Technology | Subtle & Sheer Pink | Vegan & Cruelty Free | Free From Parabens, Gluten, Oil, Preservatives & Microplastic Particles",essence cosmetics,Not available,No,https://www.amazon.com/essence-Lipstick-Technology-Provides-Preservative/dp/B08YFD3WSG/ref=sr_1_194?qid=1689463122&s=beauty&sr=1-194
Anastasia Beverly Hills - Brow Definer,Anastasia Beverly Hills,$26.00,yes,https://www.amazon.com/Anastasia-Beverly-Hills-Definer-Medium/dp/B01AO03JOY/ref=sr_1_195?qid=1689463122&s=beauty&sr=1-195
"False Eyelashes 14mm Faux 3D Mink Lashes Natural Look Fluffy Cat Eye Wispy Lashes Pack by Kiromiro, 14 Pairs",Kiromiro,$9.49,yes,https://www.amazon.com/Eyelashes-Lashes-Natural-Fluffy-Kiromiro/dp/B09MQCDVM7/ref=sr_1_196?qid=1689463122&s=beauty&sr=1-196
"IT Cosmetics Brow Power Eyebrow Pencil - Universal Shades - Long-Lasting, Budge-Proof Formula - With Biotin - Natural-Looking Brows - Built-in Spoolie Brush",IT Cosmetics,$26.00,yes,https://www.amazon.com/Brow-Power-Universal-Pencil/dp/B003VPTA2U/ref=sr_1_197?qid=1689463122&s=beauty&sr=1-197
"NYX PROFESSIONAL MAKEUP Plump Right Back Plumping Serum & Primer, With 5 Electrolytes",NYX PROFESSIONAL MAKEUP,"$11,90",No,https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Plumping-Hyaluronic/dp/B09MHDDWT7/ref=sr_1_198?qid=1689463122&s=beauty&sr=1-198
"Peripera Ink the Velvet Lip Tint, Liquid Lip (0.14 fl oz, 028 MAUVEFUL NUDE)",Peripera,$9.90,yes,https://www.amazon.com/Peripera-Velvet-Tint-Liquid-MAUVEFUL/dp/B09PY71RSW/ref=sr_1_199?qid=1689463122&s=beauty&sr=1-199
"CLIO Kill Lash Superproof Mascara, Washable, Vegan Formula, Ultra-Volumizing, Smudge-Proof, Clump-Free, Curl-Holding, Long-Lasting, 0.24 fl oz (004 EXTREME VOLUME BLACK)",CLIO PROFESSIONAL,$14.90,yes,https://www.amazon.com/CLIO-Ultra-Volumizing-Smudge-Proof-Curl-Holding-Long-Lasting/dp/B09V2CW52W/ref=sr_1_200?qid=1689463122&s=beauty&sr=1-200
"NYX PROFESSIONAL MAKEUP Fat Oil Lip Drip, Moisturizing, Shiny and Vegan Tinted Lip Gloss - Newsfeed (Rose Nude)",NYX PROFESSIONAL MAKEUP,$8.99,yes,https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Moisturizing-Tinted/dp/B0BL8HXJMX/ref=sr_1_201?qid=1689463122&s=beauty&sr=1-201
"Godefroy Instant Eyebrow Color, Medium Brown, 0.18 ounces, 12-weeks of long lasting, 3-applications per kit, 3 Count (Pack of 1)",Godefroy,"$13,39",yes,https://www.amazon.com/Godefroy-Instant-Eyebrow-12-weeks-3-applications/dp/B07SGY6WSB/ref=sr_1_202?qid=1689463122&s=beauty&sr=1-202
